number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.730042656916022,2025-12-26 07:56:11.846670,2025-12-26 09:44:38.975099,0 days 01:48:27.128429,64,512,0.3822720076459388,7,2,0.0001493346110044248,2.5281547699459536e-06,0.9326498843371693,0.7158671586710934,0.7365440726280212,COMPLETE
1,0.7296969696964779,2025-12-26 09:44:38.975434,2025-12-26 11:39:29.989357,0 days 01:54:51.013923,32,256,0.4078932745641986,3,3,9.124283404203253e-05,1.7126402157749826e-07,0.9336265813097671,0.7187499999995091,0.6911785006523132,COMPLETE
2,0.7300291545184634,2025-12-26 11:39:29.989616,2025-12-26 14:13:14.658810,0 days 02:33:44.669194,32,128,0.012357229250228141,5,2,1.1311916008908286e-05,3.194861759572113e-08,0.9352600404499972,0.7257485029935217,0.6715129613876343,COMPLETE
3,0.7299741602062209,2025-12-26 14:13:14.659099,2025-12-26 15:32:48.183414,0 days 01:19:33.524315,32,512,0.06760189694099433,3,4,0.0008836848772090393,8.399620237711928e-08,0.9364230674530067,0.7292035398225203,0.5924934148788452,COMPLETE
4,0.7334593572773871,2025-12-26 15:32:48.183659,2025-12-26 16:52:10.065540,0 days 01:19:21.881881,16,128,0.4694824873668279,7,1,0.0011198881458301265,0.0011226843166589325,0.9368213222982273,0.7300060132286131,0.7286823391914368,COMPLETE
5,0.7336561743336487,2025-12-26 16:52:10.065782,2025-12-26 19:47:03.790988,0 days 02:54:53.725206,64,128,0.46530101789881984,7,3,0.0010570478162110078,6.353734691470712e-05,0.9335554278091428,0.7212307692302757,0.6796584129333496,COMPLETE
6,0.7115272088936027,2025-12-26 19:47:03.791272,2025-12-26 19:53:31.667779,0 days 00:06:27.876507,64,512,0.2331842361891583,7,2,0.0009831472632621165,0.0009309897407991491,0.9314633101325145,0.7115272088936027,0.591037929058075,PRUNED
7,0.7172653534178222,2025-12-26 19:53:31.667965,2025-12-26 19:59:54.980337,0 days 00:06:23.312372,32,256,0.10954032423428506,3,1,0.00011188184995785267,2.532518188601667e-07,0.9325848735848004,0.7172653534178222,0.6177801489830017,PRUNED
8,0.73190984578836,2025-12-26 19:59:54.980513,2025-12-26 22:33:39.309335,0 days 02:33:44.328822,64,256,0.24542391248442008,3,1,0.0007742112778181856,2.7835918591687006e-05,0.9342741293550166,0.7218468468463649,0.6630872488021851,COMPLETE
9,0.733292458613854,2025-12-26 22:33:39.309574,2025-12-27 00:29:55.539950,0 days 01:56:16.230376,16,256,0.39531442812154327,5,4,7.230199875944023e-05,0.0002424096362540919,0.9353544852044229,0.7213717085114484,0.7278310656547546,COMPLETE
10,0.7324120603010121,2025-12-27 00:29:55.540222,2025-12-27 01:28:02.955901,0 days 00:58:07.415679,64,128,0.4986639247091469,7,3,0.0028143350395056,0.009795210506430261,0.935712044342452,0.7248157248152316,0.7702334523200989,COMPLETE
11,0.735095267362752,2025-12-27 01:28:02.956276,2025-12-27 04:08:53.510617,0 days 02:40:50.554341,16,128,0.4950813852374845,7,3,0.0004941576397473323,8.499399666787692e-05,0.934885332806422,0.7236119585107949,0.7015087604522705,COMPLETE
12,0.7292682926824344,2025-12-27 04:08:53.510901,2025-12-27 05:20:13.396918,0 days 01:11:19.886017,16,128,0.3166070152734909,7,3,0.0002800081006549872,2.055278099762012e-05,0.935860494091956,0.7232516437532457,0.6720004081726074,COMPLETE
13,0.7166666666661771,2025-12-27 05:20:13.397190,2025-12-27 05:26:39.403307,0 days 00:06:26.006117,16,128,0.3116864630748232,7,3,0.000338976292098293,5.1069005093301135e-06,0.933351693325341,0.7166666666661771,0.6359993815422058,PRUNED
14,0.7138228941679914,2025-12-27 05:26:39.403494,2025-12-27 05:33:05.109861,0 days 00:06:25.706367,64,128,0.4569430959724189,7,4,0.0025439702692708274,9.561251803748981e-05,0.9310594244347264,0.7138228941679914,0.7205690741539001,PRUNED
15,0.7089061566044113,2025-12-27 05:33:05.110044,2025-12-27 05:39:30.534438,0 days 00:06:25.424394,16,128,0.3320104886404008,5,3,0.00038165350126358904,1.397728221053957e-06,0.9320878228718065,0.7089061566044113,0.7263182401657104,PRUNED
16,0.7137119908199399,2025-12-27 05:39:30.534615,2025-12-27 05:45:51.782726,0 days 00:06:21.248111,64,128,0.17246658509577273,7,2,4.372817235772544e-05,0.00010847105840971734,0.9321809878870124,0.7137119908199399,0.7476534843444824,PRUNED
17,0.7181871005224653,2025-12-27 05:45:51.782912,2025-12-27 05:52:20.935793,0 days 00:06:29.152881,16,128,0.42477050798222665,7,4,0.0014680563621204165,0.00992554468858112,0.9335559397048306,0.7181871005224653,0.6094675064086914,PRUNED
18,0.721636701797398,2025-12-27 05:52:20.935965,2025-12-27 06:11:37.599342,0 days 00:19:16.663377,64,128,0.49444243228422935,7,3,0.0005245522212733608,6.663698923961262e-07,0.9355118931284657,0.721636701797398,0.7240960597991943,PRUNED
19,0.714563106795619,2025-12-27 06:11:37.599527,2025-12-27 06:18:01.804644,0 days 00:06:24.205117,16,512,0.3553406463247625,5,2,2.9075366715706774e-05,0.000798867906186766,0.9336342597450862,0.714563106795619,0.733267605304718,PRUNED
